Atoll,Island,Population,Area_km2,Distance_from_Male_km,Nearest_Airport,Electricity_Provider,Maximum_Peak_Load_kW,Total_Installed_Capacity_kW,Total_Generator_Sets_kW,Yearly_Electricity_Production_kWh,Yearly_Billed_Amount_kW,Yearly_Oil_Consumption_Liters,Lube_Oil_Consumption_L_per_year,Solar_PV_Installed_kW,Solar_PV_Production_kWh,Synchronizing_Panel,Synchronizing_Panel_Type,Electricity_Cable_Installed_Year,Distribution_Cable_Size_mm2,CO2_Emissions_tCO2
RAA ATOLL,ALIFUSHI,1808.0,0.588,206.1,Ifuru Airport,FENAKA,368.0,1000.0,"400, 600",1667458.0,165034.0,640590.5,1596.5,,-,Yes,Auto,1994.0,"CO2 emission  (tCO2) 1,705.51",1.0
RAA ATOLL,IN’GURAIDHOO,1223.0,0.453,152.2,Ifuru Airport,FENAKA,2013.0,2013.0,"80, 100, 250",1219439.55,98601.0,414467.0,1579.0,,-,Yes,Auto,2014.0,"CO2 emission  (tCO2) 1,103.48",1.0
RAA ATOLL,INNAMAADHOO,570.0,0.339,160.4,Ifuru Airport,FENAKA,173.0,603.0,"80, 108, 165, 250",1378015.5,595179.0,276968.0,1176.0,,-,Yes,Manual,2000.0,CO2 emission  (tCO2) 737.40,737.4
BAA ATOLL,MAALHOS,485.0,0.256,114.5,Dharavandhoo Airport,FENAKA,136.0,536.0,"100, 128, 148, 160",717112.6,118744.0,222540.0,1576.0,,-,No,-,1998.0,CO2 emission  (tCO2) 592.49,592.49
BAA ATOLL,KUDARIKILU,429.0,0.187,133.7,Dharavandhoo Airport,FENAKA,106.0,260.0,"100, 160",493194.4,41143.0,160799.0,503.0,,-,No,-,2008.0,CO2 emission  (tCO2) 428.11,428.11
BAA ATOLL,KIHAADHOO,364.0,0.314,122.4,Dharavandhoo Airport,FENAKA,80.0,258.0,"64, 90, 104",378672.9,46534.0,134718.48,755.0,,-,No,-,2004.0,CO2 emission  (tCO2) 358.67,358.67
BAA ATOLL,KENDHOO,868.0,0.179,134.3,Dharavandhoo Airport,FENAKA,200.0,571.0,"121, 200, 250",975985.3,84314.0,347306.0,1414.0,,-,Yes,Auto,1994.0,-,924.67
BAA ATOLL,KAMADHOO,471.0,0.202,129.5,Dharavandhoo Airport,FENAKA,155.0,360.0,"180, 180",677961.0,60085.0,252654.0,614.0,,-,No,-,2014.0,CO2 emission  (tCO2) 672.67,672.67
BAA ATOLL,HITHAADHOO,718.0,0.314,113.0,Dharavandhoo Airport,FENAKA,131.0,406.0,"100, 146, 160",786926.6,112250.0,207905.0,862.0,,-,No,-,1994.0,CO2 emission  (tCO2) 553.53,553.53
BAA ATOLL,GOIDHOO,548.0,1.637,96.5,Dharavandhoo Airport,FENAKA,163.0,410.0,"60, 100, 250",742147.95,57644.0,206145.0,1167.0,,-,Yes,Auto,2010.0,CO2 emission  (tCO2) 548.84,548.84
BAA ATOLL,FULHADHOO,220.0,0.283,101.1,Dharavandhoo Airport,FENAKA,70.0,160.0,"80, 80",270131.65,24366.0,110847.0,311.0,,-,No,-,1996.0,-,295.12
