Atoll,Island,Population,Area_km2,Distance_from_Male_km,Nearest_Airport,Electricity_Provider,Peak_Load_Time,Maximum_Peak_Load_kW,Total_Installed_Capacity_kW,Total_Generator_Sets_kW,Monthly_Average_Usage_kWh,Yearly_Electricity_Production_kWh,Yearly_Billed_Amount_kW,Yearly_Oil_Consumption_Liters,Lube_Oil_Consumption_L_per_year,Solar_PV_Installed_kW,Solar_PV_Production_kWh,Synchronizing_Panel,Synchronizing_Panel_Type,Electricity_Cable_Installed_Year,Distribution_Cable_Size_mm2,CO2_Emissions_tCO2
NOONU ATOLL,LHOHI,611,0.404,182.1,Ifuru Airport,FENAKA,12:00,2336,352,"80, 112, 160","42,726.46","512,717.52","41,770.00","190,120.00",790.00,,-,No,-,1998,CO2 emission  (tCO2) 506.18,506.18
NOONU ATOLL,MAAFARU,616,1.305,181.5,Ifuru Airport,FENAKA,12:00,160,300,"50, 50, 200","100,172.43","1,202,069.10","56,413.00","253,135.00","1,443.00",,-,Yes,Auto,2007,CO2 emission  (tCO2) 673.95,673.95
NOONU ATOLL,MAALHENDHOO,667,0.484,190.9,Ifuru Airport,FENAKA,,,408,"80, 80, 108, 140","48,098.66","577,183.95","51,288.00","235,013.19",935.00,,-,No,-,1997,CO2 emission  (tCO2) 625.70,625.70
NOONU ATOLL,MAGOODHOO,258,0.372,178.5,Ifuru Airport,FENAKA,,,78,"30, 48","53,260.25","639,123.00","17,407.00","81,990.00",187.00,,-,No,-,1994,CO2 emission  (tCO2) 218.29,218.29
NOONU ATOLL,MANADHOO,1408,1.067,176.3,Ifuru Airport,FENAKA,13:00,475,760,"160, 600","308,997.80","3,707,973.58","864,883.84","740,890.00","2,635.00",,-,Yes,Auto,2009,"CO2 emission  (tCO2) 1,972.55",1
NOONU ATOLL,MILADHOO,809,0.220,180.4,Ifuru Airport,FENAKA,12:00,150,380,"180, 200","69,662.59","835,951.10","59,524.00","244,493.00","1,294.00",,-,No,-,2006,CO2 emission  (tCO2) 650.94,650.94
NOONU ATOLL,VELIDHOO,1987,0.435,166.9,Ifuru Airport,FENAKA,12:00,475,1110,"160, 250, 300, 400","210,828.08","2,529,937.01","208,007.00","806,232.00","4,789.50",,-,Yes,Manual,1997,"CO2 emission  (tCO2) 2,146.51",2
RAA ATOLL,AN’GOLHITHEEMU,400,0.393,188,Ifuru Airport,FENAKA,12:00,80,409,"80, 160, 169","29,125.92","349,511.00","29,369.00","133,441.00",896.00,,-,No,-,2006,CO2 emission  (tCO2) 355.27,355.27
RAA ATOLL,ALIFUSHI,1808,0.588,206.1,Ifuru Airport,FENAKA,12:00,368,1000,"400, 600","138,954.83","1,667,458.00","165,034.00","640,590.50","1,596.50",,-,Yes,Auto,1994,"CO2 emission  (tCO2) 1,705.51",1
RAA ATOLL,DHUVAAFARU,3018,0.495,169.3,Ifuru Airport,MWSC,12:00,512,1968,"440, 640, 888","221,112.17","2,653,346.00",0.00,"727,446.00","4,550.00",,-,Yes,Auto,2012,"CO2 emission  (tCO2) 1,936.75",1
RAA ATOLL,FAINU,322,0.605,152.2,Ifuru Airport,FENAKA,12:00,68,367,"48, 150, 169","54,961.95","659,543.42","97,124.44","125,535.00",700.50,,-,Yes,Manual,2000,CO2 emission  (tCO2) 334.22,334.22
RAA ATOLL,HULHUDHUFFAARU,1137,0.597,184.5,Ifuru Airport,FENAKA,12:00,207,620,"120, 250, 250","101,596.72","1,219,160.60","135,986.00","349,036.00","1,883.50",,-,Yes,Manual,1994,CO2 emission  (tCO2) 929.27,929.27
RAA ATOLL,IN’GURAIDHOO,1223,0.453,152.2,Ifuru Airport,FENAKA,12:00,2013,430,"80, 100, 250","101,619.96","1,219,439.55","98,601.00","414,467.00","1,579.00",,-,Yes,Auto,2014,"CO2 emission  (tCO2) 1,103.48",1
RAA ATOLL,INNAMAADHOO,570,0.339,160.4,Ifuru Airport,FENAKA,13:00,173,603,"80, 108, 165, 250","114,834.63","1,378,015.50","595,179.00","276,968.00","1,176.00",,-,Yes,Manual,2000,CO2 emission  (tCO2) 737.40,737.40
RAA ATOLL,KINOLHAS,473,0.542,150.6,Ifuru Airport,FENAKA,20:00,84,289,"85, 100, 104","31,409.39","376,912.65","30,946.00","134,071.82",860.00,,-,No,-,1999,CO2 emission  (tCO2) 356.95,356.95
RAA ATOLL,MAAKURATHU,801,0.503,167.4,Ifuru Airport,FENAKA,13:00,170,320,"80, 80, 160","55,852.21","670,226.55","55,611.00","206,652.00",587.00,,-,Yes,Auto,2006,CO2 emission  (tCO2) 550.19,550.19
RAA ATOLL,MADUVVARI,1479,0.206,159.8,Ifuru Airport,FENAKA,12:00,277,538,"128, 160, 250","122,828.50","1,473,942.00","120,820.00","467,601.00","1,899.00",,-,Yes,Auto,2015,-,1
RAA ATOLL,MEEDHOO,1661,0.348,154.1,Ifuru Airport,FENAKA,13:00,357,700,"150, 150, 400","142,308.40","1,707,700.80","143,928.00","542,699.00","1,309.00",,-,Yes,Manual,2008,"CO2 emission  (tCO2) 1,444.88",1
RAA ATOLL,RASGETHEEMU,509,0.384,190.4,Ifuru Airport,FENAKA,12:00,106,420,"80, 160, 180","46,413.67","556,964.00","45,965.00","175,759.00","1,027.50",,-,Yes,Manual,2002,CO2 emission  (tCO2) 467.94,467.94
RAA ATOLL,RASMAADHOO,512,0.260,162.2,Ifuru Airport,FENAKA,13:00,114,308,"108, 200","42,346.68","508,160.20","42,614.00","180,619.00","1,052.00",,-,No,-,1998,CO2 emission  (tCO2) 480.88,480.88
RAA ATOLL,UN’GOOFAARU,1503,0.339,173.3,Ifuru Airport,ISLAND COMMUNITY,13:30,590,1370,"380, 400, 590","242,070.42","2,904,845.00","259,025.00","761,331.00","2,213.00",,157089,Yes,Auto,2009,"CO2 emission  (tCO2) 2,026.97",2
RAA ATOLL,VAADHOO,397,0.382,196.1,Ifuru Airport,FENAKA,12:00,86,304,"40, 80, 80, 104","34,995.50","419,946.00","36,068.00","151,572.00",802.30,,-,No,-,1998,CO2 emission  (tCO2) 403.55,403.55
BAA ATOLL,DHARAVANDHOO,839,0.539,115.6,Dharavandhoo Airport,FENAKA,12:00,365,700,"100, 200, 400","137,214.24","1,646,570.84","135,874.00","707,960.00","3,034.00",,-,Yes,Auto,2000,"CO2 emission  (tCO2) 1,884.87",1
BAA ATOLL,DHONFANU,369,0.175,121.3,Dharavandhoo Airport,FENAKA,12:00,87,128,"48, 80","29,949.44","359,393.30","30,276.00","147,087.00",663.00,,-,No,0,1988,CO2 emission  (tCO2) 391.60,391.60
BAA ATOLL,EYDHAFUSHI,2626,0.309,113.3,Dharavandhoo Airport,FENAKA,13:00,993,2100,"300, 400, 600, 800","419,620.43","5,035,445.10","353,759.00","1,373,595.00","5,716.00",,-,Yes,Auto,1994,"CO2 emission  (tCO2) 3,657.06",3
BAA ATOLL,FEHENDHOO,107,0.235,98.7,Dharavandhoo Airport,FENAKA,11:30,35,80,"30, 50","18,070.52","216,846.20","189,400.00","76,760.00",0.00,,-,No,-,1990,-,204.37
BAA ATOLL,FULHADHOO,220,0.283,101.1,Dharavandhoo Airport,FENAKA,12:00,70,160,"80, 80","22,510.97","270,131.65","24,366.00","110,847.00",311.00,,-,No,-,1996,-,295.12
BAA ATOLL,GOIDHOO,548,1.637,96.5,Dharavandhoo Airport,FENAKA,17:00,163,410,"60, 100, 250","61,845.66","742,147.95","57,644.00","206,145.00","1,167.00",,-,Yes,Auto,2010,CO2 emission  (tCO2) 548.84,548.84
BAA ATOLL,HITHAADHOO,718,0.314,113,Dharavandhoo Airport,FENAKA,12:00,131,406,"100, 146, 160","65,577.22","786,926.60","112,250.00","207,905.00",862.00,,-,No,-,1994,CO2 emission  (tCO2) 553.53,553.53
BAA ATOLL,KAMADHOO,471,0.202,129.5,Dharavandhoo Airport,FENAKA,12:00,155,360,"180, 180","56,496.75","677,961.00","60,085.00","252,654.00",614.00,,-,No,-,2014,CO2 emission  (tCO2) 672.67,672.67
BAA ATOLL,KENDHOO,868,0.179,134.3,Dharavandhoo Airport,FENAKA,12:30,200,571,"121, 200, 250","81,332.11","975,985.30","84,314.00","347,306.00","1,414.00",,-,Yes,Auto,1994,-,924.67
BAA ATOLL,KIHAADHOO,364,0.314,122.4,Dharavandhoo Airport,FENAKA,12:00,80,258,"64, 90, 104","31,556.08","378,672.90","46,534.00","134,718.48",755.00,,-,No,-,2004,CO2 emission  (tCO2) 358.67,358.67
BAA ATOLL,KUDARIKILU,429,0.187,133.7,Dharavandhoo Airport,FENAKA,12:00,106,260,"100, 160","41,099.53","493,194.40","41,143.00","160,799.00",503.00,,-,No,-,2008,CO2 emission  (tCO2) 428.11,428.11
BAA ATOLL,MAALHOS,485,0.256,114.5,Dharavandhoo Airport,FENAKA,12:15,136,536,"100, 128, 148, 160","59,759.38","717,112.60","118,744.00","222,540.00","1,576.00",,-,No,-,1998,CO2 emission  (tCO2) 592.49,592.49
BAA ATOLL,THULHAADHOO,1505,0.247,119.8,Dharavandhoo Airport,FENAKA,12:30,420,700,"200, 250, 250","152,255.78","1,827,069.30","179,885.00","610,236.00","1,911.00",,-,Yes,Auto,2000,"CO2 emission  (tCO2) 1,624.69",1
