Island_Name,Atoll,Atoll_Code,PCode,Pop,Area_km2,X_deg,Y_deg,GHI_GSA,TEMP_GSA
Muli,Meemu,M,MV013005,949,0.766,73.581207,2.917956,5.5531,29.16
Kolhufushi,Meemu,M,MV013007,793,0.64,73.424548,2.776881,5.5594,29.16
Naalaafushi,Meemu,M,MV013006,430,0.128,73.577385,2.895117,5.5541,29.1
Maduvvari,Meemu,M,MV013009,318,0.12,73.573112,3.105042,5.5587,29.16
Veyvah,Meemu,M,MV013003,304,0.417,73.599979,2.956217,5.5485,29.15
Raiymandhoo,Meemu,M,MV013001,171,0.281,73.639076,3.089759,5.5498,29.1
Velidhoo,Noonu,N,MV004013,1832,0.612,73.273385,5.664639,5.5245,29.23
Manadhoo,Noonu,N,MV004010,1745,1.091,73.410776,5.765721,5.5048,29.21
Holhudhoo,Noonu,N,MV004011,1428,0.497,73.2552,5.752744,5.5213,29.23
Miladhoo,Noonu,N,MV004008,934,0.22,73.362591,5.790467,5.5119,29.22
Maafaru,Noonu,N,MV004006,919,1.316,73.47433,5.825211,5.4976,29.23
Landhoo,Noonu,N,MV004005,757,0.857,73.466181,5.88176,5.4994,29.23
Maalhendhoo,Noonu,N,MV004003,724,0.462,73.456116,5.902201,5.4988,29.24
Lhohi,Noonu,N,MV004007,692,0.399,73.377673,5.816178,5.5112,29.22
Hen'badhoo,Noonu,N,MV004001,638,0.136,73.392984,5.967555,5.508,29.24
Kudafari,Noonu,N,MV004004,628,0.287,73.400206,5.882891,5.5041,29.11
Magoodhoo,Noonu,N,MV004009,305,0.363,73.362477,5.776473,5.5109,29.22
Dhuvaafaru,Raa,R,MV006019,3321,0.538,73.041595,5.628719,5.539,29.22
Meedhoo,Raa,R,MV006014,1872,0.357,72.955034,5.45818,5.5339,29.23
Alifushi,Raa,R,MV006001,1859,0.595,72.953384,5.967318,5.5413,29.23
Maduvvari,Raa,R,MV006011,1760,0.224,72.895907,5.486192,5.541,29.22
Hulhudhuffaaru,Raa,R,MV006005,1228,0.598,73.012358,5.764998,5.5312,29.22
Maakurathu,Raa,R,MV006008,956,0.523,73.044026,5.606249,5.5396,29.23
Innamaadhoo,Raa,R,MV006010,663,0.366,73.044536,5.549447,5.5338,29.23
Rasmaadhoo,Raa,R,MV006009,554,0.263,73.043867,5.563093,5.5344,29.23
Kinolhas,Raa,R,MV006015,543,0.554,73.029309,5.448479,5.5345,29.22
Rasgetheemu,Raa,R,MV006003,537,0.386,73.002955,5.807684,5.5336,29.22
Vaadhoo,Raa,R,MV006002,452,0.375,72.991446,5.856714,5.5367,29.23
Fainu,Raa,R,MV006013,423,0.608,73.034583,5.463451,5.5343,29.21
Hithadhoo,Seenu,S,MV019002,13759,5.475,73.090006,-0.608511,5.5802,29.15
Feydhoo,Seenu,S,MV019004,4289,1.185,73.134499,-0.68306,5.5671,29.17
Maradhoo,Seenu,S,MV019003,2542,0.598,73.118842,-0.665553,5.5718,29.15
Meedhoo,Seenu,S,MV019001,1892,1.864,73.231041,-0.584309,5.5822,29.15
Maradhoofeydhoo,Seenu,S,MV019005,1398,0.341,73.125855,-0.673658,5.5721,29.17
Hulhudhoo,Seenu,S,MV019006,1182,1.341,73.227632,-0.595907,5.581,29.13
Funadhoo,Shaviyani,Sh,MV003015,2255,1.203,73.289674,6.152454,5.5208,29.24
